trial,endState,user,redirector,resetCount,virtualDistance,gtChangeMax,gcChangeMax,gtChangeAvg,gcChangeAvg
246,Normal,0,PredRedLPP,8,99.982,4,2.666667,0.1497233,0.1248464
247,Normal,0,PredRedLPP,11,99.9791,4,2.222222,0.08246756,0.04396002
248,Normal,0,PredRedLPP,8,99.96745,4,2.666667,0.146727,0.1257775
249,Normal,0,PredRedLPP,8,99.97179,4,2.666667,0.1433033,0.1205777
250,Normal,0,PredRedLPP,7,99.97131,3.428572,2.666667,0.1524512,0.1333685
251,Normal,0,PredRedLPP,8,99.98155,4,2.666667,0.1415553,0.1124814
252,Normal,0,PredRedLPP,7,99.98074,4,2.666667,0.161075,0.1373994
253,Normal,0,PredRedLPP,8,99.97729,4,2.666667,0.1599912,0.1393886
254,Normal,0,PredRedLPP,8,99.98055,4,2.666667,0.1614195,0.1379494
255,Normal,0,PredRedLPP,8,99.97773,3.428571,2.666667,0.1550289,0.1397173
256,Normal,0,PredRedLPP,7,99.97845,3.533334,2.666667,0.1629747,0.1412507
257,Normal,0,PredRedLPP,8,99.97991,4,2.666667,0.135807,0.1173196
258,Normal,0,PredRedLPP,7,99.98832,3.533334,2.666667,0.1614457,0.1395766
259,Normal,0,PredRedLPP,8,99.98267,4,2.666667,0.1501375,0.1343168
260,Normal,0,PredRedLPP,7,99.9737,4,2.666667,0.1616375,0.1458714
261,Normal,0,PredRedLPP,7,99.97112,4,2.285714,0.1467835,0.1280024
262,Normal,0,PredRedLPP,7,99.97749,4,2.666667,0.1528114,0.1358659
263,Normal,0,PredRedLPP,8,99.97487,3.428572,2.666667,0.1926595,0.1669246
264,Normal,0,PredRedLPP,8,99.97253,3.428572,2.666667,0.1721291,0.2173747
265,Normal,0,PredRedLPP,8,99.98031,4,2.666667,0.1636529,0.1397405
266,Normal,0,PredRedLPP,8,99.98388,3.428571,2.666667,0.158585,0.1364527
267,Normal,0,PredRedLPP,8,99.97656,3.766667,2.666667,0.1475499,0.1235848
268,Normal,0,PredRedLPP,7,99.97047,3.428572,2.666667,0.1519723,0.1329069
269,Normal,0,PredRedLPP,8,99.97716,4,2.666667,0.1449302,0.1261746
270,Normal,0,PredRedLPP,7,99.96542,4,2.285714,0.1606343,0.1390073
271,Normal,0,PredRedLPP,8,99.97427,4,2.666667,0.1398681,0.1120246
272,Normal,0,PredRedLPP,8,99.98103,4,2.666667,0.1425826,0.1213213
273,Normal,0,PredRedLPP,8,99.96742,3.766667,2.222222,0.1530931,0.1305877
274,Normal,0,PredRedLPP,8,99.98326,4,2.666667,0.1422913,0.1184527
275,Normal,0,PredRedLPP,8,99.97324,4,2.222222,0.1526046,0.1312857
276,Normal,0,PredRedLPP,8,99.97226,3.800001,2.666667,0.1549073,0.1361288
277,Normal,0,PredRedLPP,8,99.96516,4,2.666667,0.1614117,0.1367299
278,Normal,0,PredRedLPP,7,99.97013,3.6,2.666667,0.163271,0.1444
279,Normal,0,PredRedLPP,8,99.97023,4,2.666667,0.1480123,0.1273336
280,Normal,0,PredRedLPP,7,99.97723,3.428572,2.666667,0.1461985,0.1251973
281,Normal,0,PredRedLPP,8,99.97401,4,2.285714,0.1399638,0.1168002
282,Normal,0,PredRedLPP,7,99.98585,4,2.666667,0.151313,0.1265134
283,Normal,0,PredRedLPP,8,99.96621,3.333332,2.285714,0.1604815,0.1361249
284,Normal,0,PredRedLPP,8,99.97147,4,2.285714,0.1566215,0.1314085
285,Normal,0,PredRedLPP,11,99.99129,4,2.222222,0.0836983,0.04145265
286,Normal,0,PredRedLPP,8,99.96805,4,2.285714,0.1459541,0.1198528
287,Normal,0,PredRedLPP,12,99.97914,4,2.666667,0.07832802,0.0343831
288,Normal,0,PredRedLPP,7,99.97289,4,2.285714,0.1638429,0.1389108
289,Normal,0,PredRedLPP,8,99.96531,4,2.666667,0.1562715,0.1353232
290,Normal,0,PredRedLPP,8,99.97072,4,2.222222,0.157844,0.1338094
291,Normal,0,PredRedLPP,8,99.98051,4,2.666667,0.1575868,0.1415212
292,Normal,0,PredRedLPP,7,99.9751,3.428572,2.666667,0.143203,0.1239692
293,Normal,0,PredRedLPP,8,99.96734,4,2.285714,0.1584534,0.1399478
294,Normal,0,PredRedLPP,8,99.96575,4,2.285714,0.1804776,0.1612218
295,Normal,0,PredRedLPP,8,99.98331,3.428572,2.666667,0.1519706,0.1285438
296,Normal,0,PredRedLPP,8,99.97786,4,2.222222,0.1605971,0.1382257
297,Normal,0,PredRedLPP,7,99.97349,3.228571,2.666667,0.158192,0.1400173
298,Normal,0,PredRedLPP,8,99.97739,3.428572,2.666667,0.1492587,0.1315774
299,Normal,0,PredRedLPP,8,99.98121,4,2.666667,0.1536258,0.1318012
300,Normal,0,ThomasAPF,8,99.99969,2.6,2.666667,0.04446682,0.02797739
301,Normal,0,ThomasAPF,8,99.97718,2.600001,2.666667,0.04275438,0.02329565
